Conductor_Copper_loss,Dielectric_Air_loss,epoch,initial_phi_port_port1_loss,initial_phi_port_port2_loss,mean_loss,step
1.5068903581465967e+26,3.6552266258610913e+18,0,52151753637888.0,6804844576768.0,3.7672258953664918e+25,0
1.506885930928019e+26,3.6551658778436567e+18,1,52151753637888.0,6804842479616.0,3.7672148273200476e+25,1
1.5068857464605783e+26,3.65516917637854e+18,2,52151753637888.0,6804842479616.0,3.7672143661514457e+25,2
1.5068852852919764e+26,3.6551573566285414e+18,3,52151728472064.0,6804840906752.0,3.767213213229941e+25,3
1.5068848241233746e+26,3.6551433378552873e+18,4,52151728472064.0,6804838285312.0,3.7672120603084365e+25,4
1.5068839017861709e+26,3.6551265703029637e+18,5,52151724277760.0,6804837236736.0,3.7672097544654273e+25,5
1.5068794745675932e+26,3.655105954459943e+18,6,52151707500544.0,6804835663872.0,3.767198686418983e+25,6
1.5068783677629488e+26,3.6550988076343624e+18,7,52151703306240.0,6804830420992.0,3.767195919407372e+25,7
1.506877168724584e+26,3.655091660808782e+18,8,52151678140416.0,6804824129536.0,3.76719292181146e+25,8
1.5068757852187785e+26,3.655084788861108e+18,9,52151657168896.0,6804819935232.0,3.767189463046946e+25,9
1.5068743094792526e+26,3.6550776420355277e+18,10,52151644585984.0,6804814692352.0,3.7671857736981315e+25,10
1.506872649272286e+26,3.6550696705762263e+18,11,52151627808768.0,6804806828032.0,3.767181623180715e+25,11
1.5068708045978786e+26,3.6550641730180874e+18,12,52151606837248.0,6804797915136.0,3.7671770114946964e+25,12
1.5068686832223101e+26,3.6550592252157624e+18,13,52151577477120.0,6804792672256.0,3.7671717080557753e+25,13
1.5068662851455805e+26,3.6550537276576236e+18,14,52151548116992.0,6804778516480.0,3.7671657128639513e+25,14
1.5068637948351306e+26,3.655047405465764e+18,15,52151522951168.0,6804769079296.0,3.7671594870878264e+25,15
1.5068612122909603e+26,3.6550391591285555e+18,16,52151485202432.0,6804755972096.0,3.7671530307274006e+25,16
1.5068585375130696e+26,3.6550284388901847e+18,17,52151455842304.0,6804747059200.0,3.767146343782674e+25,17
1.50685613943634e+26,3.655017718651814e+18,18,52151413899264.0,6804735524864.0,3.76714034859085e+25,18
1.5068537413596104e+26,3.6550039747564667e+18,19,52151384539136.0,6804726087680.0,3.767134353399026e+25,19
1.5068514355166012e+26,3.6549858328146084e+18,20,52151367761920.0,6804715601920.0,3.767128588791503e+25,20
1.5068492219073123e+26,3.6549803352564695e+18,21,52151325818880.0,6804705116160.0,3.767123054768281e+25,21
1.5068472849991846e+26,3.6549756623320515e+18,22,52151313235968.0,6804697251840.0,3.7671182124979615e+25,22
1.5068451636236161e+26,3.654969340140192e+18,23,52151275487232.0,6804688338944.0,3.7671129090590403e+25,23
1.506843134481768e+26,3.6549646672157737e+18,24,52151246127104.0,6804680474624.0,3.76710783620442e+25,24
1.5068410131061995e+26,3.6549599942913556e+18,25,52151233544192.0,6804672610304.0,3.767102532765499e+25,25
1.5068391684317922e+26,3.6549547716111237e+18,26,52151204184064.0,6804662124544.0,3.7670979210794804e+25,26
1.5068370470562237e+26,3.6549498238087987e+18,27,52151183212544.0,6804655833088.0,3.7670926176405592e+25,27
1.506835110148096e+26,3.654944601128567e+18,28,52151158046720.0,6804645347328.0,3.76708777537024e+25,28
1.5068328965388071e+26,3.6549399282041487e+18,29,52151124492288.0,6804638531584.0,3.7670822413470178e+25,29
1.506830867396959e+26,3.65493443064601e+18,30,52151103520768.0,6804629618688.0,3.7670771684923975e+25,30
1.5068287460213905e+26,3.654929757721592e+18,31,52151074160640.0,6804621754368.0,3.7670718650534763e+25,31
1.5068265324121017e+26,3.65492453504136e+18,32,52151044800512.0,6804612841472.0,3.767066331030254e+25,32
1.5068244110365332e+26,3.654919862116942e+18,33,52151023828992.0,6804602355712.0,3.767061027591333e+25,33
1.506822105193524e+26,3.654915189192524e+18,34,52151002857472.0,6804591869952.0,3.76705526298381e+25,34
1.5068197993505148e+26,3.654909966512292e+18,35,52150965108736.0,6804581384192.0,3.767049498376287e+25,35
1.5068174935075056e+26,3.654905293587874e+18,36,52150935748608.0,6804573519872.0,3.767043733768764e+25,36
1.5067781097089082e+26,3.65479231876812e+18,37,52150906388480.0,6804565655552.0,3.7669452742722705e+25,37
1.5067759883333397e+26,3.6547879207216087e+18,38,52150877028352.0,6804556742656.0,3.7669399708333493e+25,38
1.5067737747240509e+26,3.6547837975530045e+18,39,52150856056832.0,6804548878336.0,3.766934436810127e+25,39
1.5067719300496435e+26,3.6547793995064934e+18,40,52150826696704.0,6804539441152.0,3.7669298251241087e+25,40
1.5067699931415158e+26,3.654775826093703e+18,41,52150805725184.0,6804533149696.0,3.7669249828537894e+25,41
1.5067681484671084e+26,3.654771977803006e+18,42,52150793142272.0,6804526333952.0,3.766920371167771e+25,42
1.5067664882601418e+26,3.6547681295123087e+18,43,52150763782144.0,6804517421056.0,3.7669162206503544e+25,43
1.5067649202868955e+26,3.6547651058553324e+18,44,52150742810624.0,6804508508160.0,3.7669123007172387e+25,44
1.5067632600799289e+26,3.654762082198356e+18,45,52150717644800.0,6804503265280.0,3.766908150199822e+25,45
