conductor_1_loss,conductor_2_loss,dielectric_loss,epoch,initial_phi_port_port1_loss,initial_phi_port_port2_loss,mean_loss,step
0.1424250304698944,0.14040182530879974,1.605230948165115e-10,0,117.98799896240234,89.64615631103516,41.583396911621094,0
0.1380801498889923,0.13611869513988495,1.5562612309949486e-10,1,117.59457397460938,89.80667877197266,41.535091400146484,1
0.13419212400913239,0.13228584825992584,1.5124397567678471e-10,2,117.23826599121094,89.9546127319336,41.49187088012695,2
0.13040785491466522,0.12855534255504608,1.4697887351644567e-10,3,116.88780212402344,90.1021957397461,41.449790954589844,3
0.12665410339832306,0.1248549297451973,1.4274810500314317e-10,4,116.53649139404297,90.25231170654297,41.40806198120117,4
0.12290550768375397,0.12115958333015442,1.3852319291629556e-10,5,116.18175506591797,90.4061279296875,41.366390228271484,5
0.11915197968482971,0.11745938658714294,1.3429271583653701e-10,6,115.822509765625,90.56419372558594,41.32466125488281,6
0.11538969725370407,0.11375054717063904,1.300523577718593e-10,7,115.4581298828125,90.72688293457031,41.28282928466797,7
0.11161808669567108,0.11003249138593674,1.2580146646623547e-10,8,115.08849334716797,90.8943862915039,41.24090576171875,8
0.10783828049898148,0.10630640387535095,1.2154138806508286e-10,9,114.71363067626953,91.06663513183594,41.198883056640625,9
