Conductor_Copper_loss,Dielectric_Air_loss,epoch,initial_phi_port_port1_loss,initial_phi_port_port2_loss,mean_loss,step
54576937959424.0,1.3247047094030985e-20,0,26214742016.0,72173158400.0,13668831985664.0,0
592081844174848.0,4.700498421037475e-20,1,150650847232.0,65832382464.0,148074584342528.0,1
73035784650752.0,1.3506197771623733e-20,2,30525724672.0,106294599680.0,18293150711808.0,2
46144956661760.0,8.439894234321167e-21,3,10723529728.0,52196777984.0,11551968854016.0,3
51166029283328.0,8.451391560159514e-21,4,14540884992.0,19284676608.0,12799964086272.0,4
16260385472512.0,4.303946339013063e-21,5,6442280960.0,5953024000.0,4068195172352.0,5
2222121025536.0,2.463524406045129e-21,6,830841536.0,33016950784.0,563992199168.0,6
16530811125760.0,4.370475813289978e-21,7,4917328384.0,77598146560.0,4153331679232.0,7
17330831622144.0,3.9361126915426564e-21,8,7992319488.0,62328860672.0,4350288330752.0,8
6926340980736.0,1.9410481717572616e-21,9,4946043904.0,23137343488.0,1738606116864.0,9
2814640128000.0,1.4374970261300085e-21,10,2409630208.0,3997904384.0,705261928448.0,10
4840996995072.0,2.4136611266930585e-21,11,1281578240.0,9258139648.0,1212884189184.0,11
6614092873728.0,2.9853317872595647e-21,12,1023182144.0,15768731648.0,1657721192448.0,12
6232763531264.0,2.5297267239274308e-21,13,1226320256.0,12754545664.0,1561686048768.0,13
4378743799808.0,1.8156085340752608e-21,14,1662242560.0,5205297664.0,1096402862080.0,14
1825759035392.0,1.3003531664823266e-21,15,2091799552.0,1068888704.0,457229926400.0,15
1791598788608.0,1.2804351985537395e-21,16,2164028672.0,358915776.0,448530448384.0,16
2533139939328.0,1.4492217458574508e-21,17,1570577792.0,1038354560.0,633937199104.0,17
1801621864448.0,1.5917666142679316e-21,18,667809600.0,1116106240.0,450851438592.0,18
1655411048448.0,1.8516369349546334e-21,19,98198712.0,1561547904.0,414267703296.0,19
1697190641664.0,1.8509048720345883e-21,20,18026318.0,2137822976.0,424836628480.0,20
432848994304.0,1.4760014152662674e-21,21,126805504.0,608345536.0,108396036096.0,21
748199608320.0,1.284376120444283e-21,22,416552960.0,201235776.0,187204354048.0,22
1893488394240.0,1.2977665105067686e-21,23,575094272.0,580338944.0,473660948480.0,23
966380552192.0,1.275277638577179e-21,24,503294176.0,729286144.0,241903288320.0,24
230837747712.0,1.3606146675507176e-21,25,423580128.0,1686672128.0,58237001728.0,25
663490265088.0,1.4865955269225725e-21,26,376658272.0,2830606592.0,166674382848.0,26
605863804928.0,1.421548252866808e-21,27,209710000.0,2252923904.0,152081612800.0,27
514295037952.0,1.2817015159441237e-21,28,141483776.0,1018172288.0,128863674368.0,28
685072908288.0,1.2355797344457569e-21,29,223040144.0,668863552.0,171491196928.0,29
535462772736.0,1.2435822423909064e-21,30,285504992.0,1006371264.0,134188662784.0,30
212928512000.0,1.2601115163061537e-21,31,289056192.0,1518060928.0,53683908608.0,31
178326372352.0,1.24956698298002e-21,32,241461040.0,1672560512.0,45060100096.0,32
340351549440.0,1.1827096454891205e-21,33,134976784.0,1192319872.0,85419712512.0,33
413132554240.0,1.1045939880814944e-21,34,35720868.0,648235200.0,103454130176.0,34
315048787968.0,1.0823535126737408e-21,35,14208147.0,567230336.0,78907555840.0,35
179614760960.0,1.1169454546426911e-21,36,46481796.0,782433536.0,45110919168.0,36
162594652160.0,1.1598569635318175e-21,37,64830748.0,878988736.0,40884617216.0,37
158754684928.0,1.1625120800121741e-21,38,37279612.0,673335680.0,39866327040.0,38
126613331968.0,1.1227226932592953e-21,39,6731082.0,318456448.0,31734630400.0,39
192704495616.0,1.0780583733040914e-21,40,29504402.0,89911992.0,48205979648.0,40
223859851264.0,1.051816694410861e-21,41,79882936.0,59485820.0,55999803392.0,41
93080731648.0,1.0545112918018021e-21,42,82520408.0,186696816.0,23337486336.0,42
41033338880.0,1.090034215856658e-21,43,60115120.0,452033440.0,10386371584.0,43
101594226688.0,1.1170085635151088e-21,44,47524060.0,676421824.0,25579542528.0,44
85567102976.0,1.0924619384479194e-21,45,45023928.0,681756864.0,21573470208.0,45
74055942144.0,1.0431607824442477e-21,46,60829068.0,547800960.0,18666143744.0,46
118513352704.0,1.0147390706622209e-21,47,75252288.0,443776864.0,29758095360.0,47
74622894080.0,1.0171288269558357e-21,48,57581376.0,376185408.0,18764165120.0,48
14886915072.0,1.0435619529244324e-21,49,30228968.0,367739936.0,3821221120.0,49
42965774336.0,1.0688150944401123e-21,50,27503950.0,410928320.0,10851052544.0,50
56095961088.0,1.0613846053145566e-21,51,36745140.0,417942048.0,14137662464.0,51
39260155904.0,1.0295008922529896e-21,52,40714412.0,375309120.0,9919044608.0,52
49629343744.0,1.0044283935737181e-21,53,30810706.0,305179936.0,12491333632.0,53
48801058816.0,1.0006337832929878e-21,54,10879912.0,210264048.0,12255550464.0,54
23564075008.0,1.0145704437551208e-21,55,5970073.0,160965920.0,5932752896.0,55
11823666176.0,1.0309078666982184e-21,56,19596064.0,196318896.0,3009895168.0,56
20185944064.0,1.0326740063581506e-21,57,28213802.0,262918944.0,5119269376.0,57
32814706688.0,1.018918695551797e-21,58,23573818.0,292752096.0,8282758144.0,58
27465562112.0,1.0022722915693425e-21,59,15804862.0,257570720.0,6934734336.0,59
15078427648.0,9.95727851012531e-22,60,13917404.0,184274656.0,3819154944.0,60
19346632704.0,1.0004995885866788e-21,61,18418652.0,133327032.0,4874594816.0,61
14115633152.0,1.0038020506367471e-21,62,17366152.0,119937408.0,3563234560.0,62
2461342464.0,9.985232206509488e-22,63,9770295.0,121505216.0,648154496.0,63
14934789120.0,9.910764746798583e-22,64,6846703.5,119977216.0,3765403136.0,64
20771221504.0,9.872472302499452e-22,65,5712177.0,103239176.0,5220043264.0,65
7979271680.0,9.879789902474027e-22,66,2635702.0,82226040.0,2016033408.0,66
7510411264.0,9.894053517382381e-22,67,1047201.0625,73405016.0,1896215680.0,67
9002710016.0,9.847890134515317e-22,68,282551.8125,71195408.0,2268547072.0,68
3475254016.0,9.764586422923978e-22,69,1398764.125,76182936.0,888208896.0,69
6266010624.0,9.735358432187943e-22,70,4364125.0,90193248.0,1590141952.0,70
9343685632.0,9.779094395386334e-22,71,4112329.0,97280328.0,2361269504.0,71
6652036096.0,9.83389713045189e-22,72,1551202.125,87200472.0,1685196928.0,72
4441444352.0,9.82543246361225e-22,73,399352.40625,63082444.0,1126231552.0,73
2972429824.0,9.741697592204554e-22,74,1241035.25,38377152.0,753012032.0,74
3144950016.0,9.658670549909894e-22,75,3825271.75,26771534.0,793886720.0,75
3597433088.0,9.652628254029136e-22,76,4698040.5,27377528.0,907377152.0,76
4041729280.0,9.717715210943877e-22,77,2362982.5,29679672.0,1018443008.0,77
4541186048.0,9.774440494698764e-22,78,406756.4375,28343282.0,1142483968.0,78
2065523328.0,9.753006702141802e-22,79,15770.4326171875,21744980.0,521821024.0,79
1309796736.0,9.677741546283538e-22,80,107931.1953125,15043130.0,331236960.0,80
2490863616.0,9.630268528096062e-22,81,230029.75,15119194.0,626553280.0,81
1334390400.0,9.652846358292211e-22,82,153364.828125,20528338.0,338768032.0,82
2216772864.0,9.710267354256632e-22,83,691068.625,26800930.0,561066240.0,83
2882555392.0,9.727667227688655e-22,84,1085355.0,26750292.0,727597760.0,84
663921472.0,9.681541205274062e-22,85,573952.75,18598124.0,170773392.0,85
775081920.0,9.62644463529853e-22,86,222482.828125,9856473.0,196290224.0,86
1422513536.0,9.616911661466604e-22,87,250769.78125,5427893.0,357048064.0,87
841171264.0,9.64774110294911e-22,88,295445.40625,5201854.0,211667136.0,88
1218267264.0,9.66978175042324e-22,89,282763.25,6941027.5,306372768.0,89
1293416192.0,9.650283633201074e-22,90,121211.4765625,7494820.5,325258048.0,90
657571584.0,9.610679534097614e-22,91,21132.537109375,5947014.5,165884928.0,91
276418656.0,9.594028889198933e-22,92,20197.564453125,3736093.0,70043736.0,92
609803968.0,9.610785557003275e-22,93,65898.171875,3120373.0,153247552.0,93
834819968.0,9.629622293242505e-22,94,65695.265625,4015405.5,209725264.0,94
473770560.0,9.621469636668099e-22,95,1641.570556640625,4562060.0,119583568.0,95
632391488.0,9.59587065853157e-22,96,127863.9296875,4173537.25,159173216.0,96
428602432.0,9.581317247681074e-22,97,217754.265625,2728128.0,107887080.0,97
58223444.0,9.588295574357531e-22,98,115604.796875,1546962.0,14971503.0,98
451639872.0,9.5989907611839e-22,99,60921.578125,1565790.0,113316648.0,99
398934368.0,9.593537144865054e-22,100,76234.28125,1342879.5,100088368.0,100
295934656.0,9.57922001363289e-22,101,164542.140625,847968.25,74236800.0,101
346153152.0,9.575568786710292e-22,102,170027.75,812967.125,86784040.0,102
100942280.0,9.584334356653618e-22,103,39765.8828125,901050.5625,25470774.0,103
153200784.0,9.589188186249007e-22,104,2771.567626953125,873569.875,38519280.0,104
235729632.0,9.579996505199116e-22,105,21907.4375,587069.1875,59084652.0,105
201710144.0,9.568722736230422e-22,106,7751.4755859375,299518.90625,50504352.0,106
188192992.0,9.571925637723364e-22,107,4127.5048828125,323756.0,47130220.0,107
128912608.0,9.585465267647343e-22,108,38149.93359375,400040.71875,32337700.0,108
76293064.0,9.589466875029603e-22,109,60667.5703125,269422.40625,19155788.0,109
73690184.0,9.576358404921982e-22,110,31603.720703125,61417.5234375,18445802.0,110
168203392.0,9.56226139743681e-22,111,10569.3603515625,29124.83203125,42060772.0,111
103357808.0,9.56503717808123e-22,112,3968.432373046875,14659.5224609375,25844108.0,112
63678432.0,9.580366070755994e-22,113,22766.318359375,8325.984375,15927381.0,113
96044880.0,9.58742214756327e-22,114,40536.0234375,32079.0703125,24029374.0,114
12955187.0,9.576993532613994e-22,115,13901.2705078125,18762.849609375,3246962.75,115
72560144.0,9.563344850558477e-22,116,2387.59912109375,83155.125,18161422.0,116
94745656.0,9.56332768494518e-22,117,3303.531005859375,96433.7109375,23711348.0,117
35418160.0,9.574478265394914e-22,118,1374.184326171875,39146.84765625,8864670.0,118
45215144.0,9.580479161855367e-22,119,4024.390380859375,26891.03515625,11311515.0,119
29784626.0,9.57403700815897e-22,120,9036.078125,52765.9375,7461607.0,120
28674240.0,9.565121996405759e-22,121,21839.009765625,123160.6015625,7204810.0,121
42946344.0,9.564847346592997e-22,122,19340.650390625,149981.265625,10778916.0,122
44322588.0,9.5707321227282e-22,123,7444.49755859375,101062.7890625,11107774.0,123
18428388.0,9.572958603747097e-22,124,6237.2744140625,57364.75390625,4622997.5,124
17427424.0,9.569368971083979e-22,125,12413.3466796875,66598.7890625,4376609.0,125
21661364.0,9.566648726247287e-22,126,8438.4404296875,71108.6640625,5435228.0,126
17019056.0,9.568615703582802e-22,127,547.0269165039062,54215.69140625,4268454.5,127
31364430.0,9.570891661957673e-22,128,1809.575439453125,50816.41015625,7854264.0,128
11570820.0,9.569082204367713e-22,129,488.6805114746094,47171.31640625,2904620.0,129
11199303.0,9.566203430043508e-22,130,867.7504272460938,50849.8359375,2812755.25,130
12359350.0,9.567185908969307e-22,131,1218.4600830078125,47686.859375,3102063.75,131
8300821.5,9.570503921045539e-22,132,1987.8309326171875,69003.1484375,2092953.125,132
18830802.0,9.57062609982254e-22,133,4341.3671875,107573.75,4735679.5,133
9125114.0,9.567096041934984e-22,134,1862.8896484375,96785.109375,2305940.5,134
5503662.0,9.565494591188513e-22,135,404.85235595703125,57599.7421875,1390416.625,135
7084761.0,9.56846323254704e-22,136,2046.6180419921875,28128.6484375,1778734.125,136
6985739.5,9.571494477907007e-22,137,4530.6357421875,27296.43359375,1754391.5,137
7098714.5,9.570084878132685e-22,138,3285.994384765625,43299.61328125,1786325.0,138
9139455.0,9.56677696347604e-22,139,810.9381713867188,51370.03125,2297909.0,139
2903206.5,9.566933473479636e-22,140,39.78792190551758,40784.5234375,736007.6875,140
2407635.5,9.570301972653802e-22,141,281.1172790527344,27153.2734375,608767.5,141
6297885.5,9.571689358105032e-22,142,428.5974426269531,27368.107421875,1581420.625,142
2724585.25,9.569315454760169e-22,143,837.5558471679688,38924.9140625,691086.9375,143
5693159.5,9.567408052200217e-22,144,2241.090087890625,47446.11328125,1435711.625,144
2316542.0,9.569265977404193e-22,145,1246.2994384765625,34578.00390625,588091.5625,145
1365734.75,9.572248755150143e-22,146,294.1048889160156,15301.896484375,345332.6875,146
2988347.0,9.57224370644035e-22,147,456.279052734375,6972.5009765625,748943.9375,147
2608645.75,9.570056605357842e-22,148,736.9859619140625,10150.685546875,654883.375,148
2710044.75,9.569670883929625e-22,149,592.9456176757812,14008.9599609375,681161.6875,149
1663361.875,9.571846877850587e-22,150,129.07606506347656,11891.5751953125,418845.625,150
1005119.125,9.573426114273967e-22,151,29.477689743041992,7577.4052734375,253181.5,151
1397042.75,9.572663759095161e-22,152,114.86012268066406,6818.00634765625,350993.90625,152
1916162.5,9.57158333519937e-22,153,133.2060546875,9621.8134765625,481479.375,153
1224601.875,9.572194229084374e-22,154,44.0776481628418,9507.0087890625,308538.25,154
1454430.125,9.57346145524252e-22,155,473.59051513671875,6947.94091796875,365462.90625,155
168310.3125,9.57363008214962e-22,156,384.49969482421875,4073.907470703125,43192.1796875,156
1131337.25,9.573194883365429e-22,157,153.9267120361328,3711.66259765625,283800.71875,157
1040731.625,9.573528098211794e-22,158,208.2684783935547,2971.320068359375,260977.796875,158
711440.4375,9.574225829905244e-22,159,468.6144714355469,1608.6939697265625,178379.4375,159
881499.875,9.574054173772268e-22,160,371.5984802246094,1780.123779296875,220912.90625,160
166503.46875,9.573456406532727e-22,161,35.22117233276367,2087.4228515625,42156.52734375,161
560778.8125,9.573836069509192e-22,162,24.212059020996094,1287.377197265625,140522.59375,162
715145.4375,9.574902357017561e-22,163,20.602785110473633,349.10028076171875,178878.78125,163
446605.5,9.575022516310645e-22,164,1.6061158180236816,464.76580810546875,111767.96875,164
363845.9375,9.574084466031028e-22,165,110.0700912475586,689.2468872070312,91161.3125,165
306870.625,9.573812845444142e-22,166,189.77932739257812,372.2190246582031,76858.15625,166
170481.625,9.574878123210553e-22,167,60.950599670410156,21.197444915771484,42640.94140625,167
542285.8125,9.575749530520896e-22,168,14.401712417602539,300.4410400390625,135650.15625,168
199793.65625,9.575275961542274e-22,169,25.244606018066406,145.45925903320312,49991.08984375,169
254957.171875,9.574538849912435e-22,170,125.60368347167969,61.1133918762207,63785.97265625,170
123851.9453125,9.574908415469313e-22,171,75.64495086669922,115.47518920898438,31010.765625,171
189017.796875,9.575839397555219e-22,172,6.496245384216309,365.0782775878906,47347.34375,172
258127.09375,9.576011053688195e-22,173,10.822442054748535,406.4455261230469,64636.08984375,173
153123.15625,9.57553950419349e-22,174,10.856770515441895,190.07437133789062,38331.0234375,174
129340.8828125,9.575553640580912e-22,175,15.618842124938965,201.9703369140625,32389.6171875,175
80900.71875,9.576159485756121e-22,176,49.90913772583008,361.8567810058594,20328.12109375,176
117341.9609375,9.576471496021354e-22,177,59.38793182373047,497.3956298828125,29474.685546875,177
163717.703125,9.576286713242916e-22,178,23.93048095703125,481.7966613769531,41055.859375,178
76449.5234375,9.576288732726833e-22,179,17.391672134399414,291.4599609375,19189.59375,179
71177.625,9.576688590542471e-22,180,52.75783920288086,250.3295440673828,17870.177734375,180
67583.125,9.576916792225134e-22,181,38.878944396972656,232.27503967285156,16963.5703125,181
53290.84765625,9.576793603706174e-22,182,0.9311578869819641,188.0975341796875,13369.96875,182
119976.8203125,9.576825915448852e-22,183,6.358480930328369,251.75901794433594,30058.734375,183
22378.3203125,9.577184373844185e-22,184,0.05833293870091438,207.9288330078125,5646.57666015625,184
53285.7578125,9.577392380687673e-22,185,5.219273090362549,172.06861877441406,13365.76171875,185
33458.99609375,9.577291406491805e-22,186,4.012668132781982,195.3658905029297,8414.59375,186
48324.7890625,9.577330786428194e-22,187,10.985491752624512,390.2679748535156,12181.5107421875,187
53066.796875,9.57767106946827e-22,188,6.924758434295654,462.1047668457031,13383.95703125,188
