conductor_1_loss,conductor_2_loss,dielectric_loss,epoch,initial_phi_port_port1_loss,initial_phi_port_port2_loss,mean_loss,step
0.46838682889938354,0.49834969639778137,5.191470031640222e-10,0,63.56084442138672,158.86135864257812,44.67778778076172,0
0.4601360261440277,0.48957112431526184,5.100020405990335e-10,1,63.713497161865234,158.31373596191406,44.59538650512695,1
0.4527706205844879,0.48173442482948303,5.018384041655111e-10,2,63.853511810302734,157.82106018066406,44.52181625366211,2
0.4455793797969818,0.47408315539360046,4.938678355159709e-10,3,63.99346923828125,157.33688354492188,44.45000457763672,3
0.4384118616580963,0.46645721793174744,4.859235791521144e-10,4,64.13581085205078,156.8513946533203,44.378414154052734,4
0.431213915348053,0.4587988257408142,4.779455720083092e-10,5,64.28156280517578,156.36111450195312,44.30653762817383,5
0.42396190762519836,0.45108288526535034,4.699076683323256e-10,6,64.43122863769531,155.86427307128906,44.234107971191406,6
0.41664427518844604,0.44329702854156494,4.6179690627035086e-10,7,64.58518981933594,155.36001586914062,44.16102981567383,7
0.4092564284801483,0.4354367256164551,4.5360851186337925e-10,8,64.74353790283203,154.8480224609375,44.087249755859375,8
0.4017965793609619,0.4274996519088745,4.4534020915421024e-10,9,64.9063720703125,154.3280487060547,44.01274490356445,9
