Conductor_Copper_loss,Dielectric_Air_loss,epoch,initial_phi_port_port1_loss,initial_phi_port_port2_loss,mean_loss,step
2.6604229788063094e-06,3439735.5,0,17.211389541625977,11.482508659362793,859941.0625,0
1.4053742916075862e-06,1787870.25,1,8.962427139282227,4.549749374389648,446970.9375,1
7.801023116371653e-07,927984.875,2,4.088020324707031,1.0514278411865234,231997.5,2
5.429077418739325e-07,565374.5625,3,2.3954849243164062,0.41846370697021484,141344.359375,3
4.7085242727007426e-07,423682.90625,4,2.690666437149048,0.7426641583442688,105921.5859375,4
4.430571891589352e-07,359562.46875,5,3.904448986053467,1.1479458808898926,89891.8828125,5
4.1384674887012807e-07,319103.59375,6,5.035406112670898,1.5947487354278564,79777.5546875,6
3.752691952740861e-07,285856.0,7,5.496601104736328,2.1270673274993896,71465.90625,7
3.341720571370388e-07,260763.71875,8,5.266772747039795,2.581909418106079,65192.890625,8
2.967393299968535e-07,244301.140625,9,4.5416083335876465,2.9030773639678955,61077.14453125,9
2.627115236464306e-07,230191.8125,10,3.552187442779541,3.016676664352417,57549.59375,10
2.2959549994538975e-07,210614.4375,11,2.606534957885742,2.9291622638702393,52654.9921875,11
1.969287382053153e-07,183146.796875,12,1.949828028678894,2.5888514518737793,45787.83203125,12
1.6782493617029104e-07,151735.71875,13,1.5077193975448608,2.0677263736724854,37934.82421875,13
1.4676594162210677e-07,123815.6328125,14,1.2652417421340942,1.4895271062850952,30954.59765625,14
1.3649396635173616e-07,105413.0625,15,1.2303003072738647,0.9730032086372375,26353.81640625,15
1.355658412194316e-07,97287.390625,16,1.3001248836517334,0.5944705605506897,24322.322265625,16
1.3890732475374534e-07,95410.0390625,17,1.415737509727478,0.3521197438240051,23852.951171875,17
1.411925012462234e-07,94216.7890625,18,1.5104860067367554,0.20697316527366638,23554.626953125,18
1.388890495945816e-07,89709.4453125,19,1.5322763919830322,0.12962421774864197,22427.77734375,19
1.3083653982448595e-07,80761.4453125,20,1.4397801160812378,0.11001069098711014,20190.748046875,20
1.1780116437876131e-07,68720.3515625,21,1.327836275100708,0.16224327683448792,17180.4609375,21
1.0205609157765139e-07,55804.0546875,22,1.1724848747253418,0.2801917791366577,13951.376953125,22
8.625908520798475e-08,44002.41015625,23,1.012282133102417,0.44931113719940186,11000.9677734375,23
7.234206833572898e-08,34618.83203125,24,0.8914819955825806,0.6399020552635193,8655.0908203125,24
6.147666198330626e-08,28120.296875,25,0.8285467028617859,0.8152153491973877,7030.4853515625,25
5.4266653393142406e-08,24411.873046875,26,0.8358774781227112,0.944015383720398,6103.4130859375,26
